,maj:Android_10,maj:Android_4,maj:Android_5,maj:Android_6,maj:Android_7,maj:Android_8,maj:Android_9,maj:Android_OTHER,maj:Linux_OTHER,maj:Linux_Ubuntu,maj:Windows_10,maj:Windows_7,maj:Windows_8,maj:Windows_Vista,maj:Windows_XP,maj:iOS_10,maj:iOS_11,maj:iOS_12,maj:iOS_13,maj:iOS_14,maj:macOS_10,maj:macOS_OTHER
maj:Android_10,103,0,0,3,10,33,66,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
maj:Android_4,0,11,0,3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
maj:Android_5,1,0,15,0,2,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
maj:Android_6,4,0,3,159,11,5,5,0,4,0,0,0,4,0,8,0,0,0,0,0,0,0
maj:Android_7,12,3,6,5,65,11,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
maj:Android_8,25,0,1,1,3,40,45,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
maj:Android_9,74,0,0,3,12,38,130,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0
maj:Android_OTHER,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
maj:Linux_OTHER,0,1,0,11,1,2,12,0,99,9,2,4,1,0,0,0,0,0,0,0,3,0
maj:Linux_Ubuntu,0,0,0,0,0,1,0,0,8,36,0,1,0,0,0,0,0,0,0,0,0,0
maj:Windows_10,5,6,0,8,8,7,8,0,25,0,2504,54,76,0,5,1,0,0,0,0,3,1
maj:Windows_7,0,3,0,4,1,1,5,0,10,0,12,508,98,1,1,0,0,0,3,0,8,3
maj:Windows_8,0,0,0,1,0,0,0,0,0,0,3,12,130,0,1,0,0,0,0,0,1,0
maj:Windows_Vista,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0,0,0,1,0
maj:Windows_XP,0,0,0,25,0,0,0,0,0,0,0,1,3,0,26,0,0,0,0,0,0,0
maj:iOS_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,1,0
maj:iOS_11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
maj:iOS_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61,0,0,1,0
maj:iOS_13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689,0,12,0
maj:iOS_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
maj:macOS_10,0,0,0,0,0,0,1,0,5,1,2,6,3,0,0,1,2,0,41,1,425,0
maj:macOS_OTHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
